last 764, 19/12/2022 18:05:19
first 715, 19/12/2022 18:05:19
last 765, 19/12/2022 18:05:19
first 714, 19/12/2022 18:05:19
last 766, 19/12/2022 18:05:19
first 714, 19/12/2022 18:05:19
last 766, 19/12/2022 18:05:19
first 713, 19/12/2022 18:05:19
last 767, 19/12/2022 18:05:19
first 712, 19/12/2022 18:05:19
last 768, 19/12/2022 18:05:19
first 712, 19/12/2022 18:05:19
last 768, 19/12/2022 18:05:19
first 712, 19/12/2022 18:05:19
last 768, 19/12/2022 18:05:19
first 711, 19/12/2022 18:05:19
last 769, 19/12/2022 18:05:19
first 711, 19/12/2022 18:05:19
last 769, 19/12/2022 18:05:19
first 711, 19/12/2022 18:05:19
last 769, 19/12/2022 18:05:19
first 710, 19/12/2022 18:05:19
last 770, 19/12/2022 18:05:19
cx 740 cy 193, 19/12/2022 18:05:19
 beginning of the function, 19/12/2022 18:05:24
first 732, 19/12/2022 18:05:24
last 748, 19/12/2022 18:05:24
first 729, 19/12/2022 18:05:24
last 751, 19/12/2022 18:05:24
first 726, 19/12/2022 18:05:24
last 754, 19/12/2022 18:05:24
first 725, 19/12/2022 18:05:24
last 755, 19/12/2022 18:05:24
first 723, 19/12/2022 18:05:24
last 757, 19/12/2022 18:05:24
first 722, 19/12/2022 18:05:24
last 758, 19/12/2022 18:05:24
first 720, 19/12/2022 18:05:24
last 760, 19/12/2022 18:05:24
first 719, 19/12/2022 18:05:24
last 761, 19/12/2022 18:05:24
first 718, 19/12/2022 18:05:24
last 762, 19/12/2022 18:05:24
first 717, 19/12/2022 18:05:24
last 763, 19/12/2022 18:05:24
first 716, 19/12/2022 18:05:24
last 764, 19/12/2022 18:05:24
first 716, 19/12/2022 18:05:24
last 764, 19/12/2022 18:05:24
first 715, 19/12/2022 18:05:24
last 765, 19/12/2022 18:05:24
first 714, 19/12/2022 18:05:24
last 766, 19/12/2022 18:05:24
first 714, 19/12/2022 18:05:24
last 766, 19/12/2022 18:05:24
first 713, 19/12/2022 18:05:24
last 767, 19/12/2022 18:05:24
first 712, 19/12/2022 18:05:24
last 768, 19/12/2022 18:05:24
first 712, 19/12/2022 18:05:24
last 768, 19/12/2022 18:05:24
first 712, 19/12/2022 18:05:24
last 768, 19/12/2022 18:05:24
first 711, 19/12/2022 18:05:24
last 769, 19/12/2022 18:05:24
first 711, 19/12/2022 18:05:24
last 769, 19/12/2022 18:05:24
first 711, 19/12/2022 18:05:24
last 769, 19/12/2022 18:05:24
first 710, 19/12/2022 18:05:24
last 770, 19/12/2022 18:05:24
cx 740 cy 193, 19/12/2022 18:05:24
 beginning of the function, 19/12/2022 18:05:29
first 732, 19/12/2022 18:05:29
last 748, 19/12/2022 18:05:29
first 729, 19/12/2022 18:05:29
last 751, 19/12/2022 18:05:29
first 726, 19/12/2022 18:05:29
last 754, 19/12/2022 18:05:29
first 725, 19/12/2022 18:05:29
last 755, 19/12/2022 18:05:29
first 723, 19/12/2022 18:05:29
last 757, 19/12/2022 18:05:29
first 722, 19/12/2022 18:05:29
last 758, 19/12/2022 18:05:29
first 720, 19/12/2022 18:05:29
last 760, 19/12/2022 18:05:29
first 719, 19/12/2022 18:05:29
last 761, 19/12/2022 18:05:29
first 718, 19/12/2022 18:05:29
last 762, 19/12/2022 18:05:29
first 717, 19/12/2022 18:05:29
last 763, 19/12/2022 18:05:29
